date,temp_max_c,temp_mean_c,humidity_mean_pct,wind_mean_ms,wind_max_ms,precip_sum_mm,sunshine_sum_h,global_radiation_sum_j_cm2,O3_max,O3_mean,O3_score,NO2_max,NO2_mean,NO2_score,PM10_max,PM10_mean,PM10_score,PM2.5_max,PM2.5_mean,PM2.5_score,SO2_max,SO2_mean,SO2_score,dominant_pollutant,dominant_score,month,year,hot_day
2024-02-01,10.5,6.643478260869566,76.43478260869566,4.413043478260869,7.8,1.9,250.0,519.0,71.2,33.856521739130436,1.9833333333333334,74.9,38.339130434782604,3.3725,27.7,15.291304347826086,2.0259259259259257,13.5,8.552173913043477,1.85,0.8,0.8,0.08000000000000002,NO2,3.3725,2,2024,False
2024-02-02,10.3,5.291666666666667,76.625,4.683333333333334,8.7,0.0,387.0,0.0,44.8,22.245833333333334,1.4333333333333331,73.7,40.862500000000004,3.3425000000000002,22.4,17.337500000000002,1.7444444444444445,13.0,10.133333333333333,1.8,1.3,0.8583333333333334,0.13,NO2,3.3425000000000002,2,2024,False
2024-02-03,11.4,9.116666666666667,78.45833333333333,6.1625000000000005,7.8,0.0,28.0,0.0,42.1,36.62916666666667,1.3770833333333332,29.2,22.7625,1.96,13.0,8.170833333333333,1.2222222222222223,10.0,5.066666666666666,1.5,1.8,0.8416666666666668,0.18000000000000002,NO2,1.96,2,2024,False
2024-02-04,11.2,10.116666666666667,80.875,8.275,11.0,0.9,0.0,0.0,50.8,41.704166666666666,1.5583333333333331,33.3,19.495833333333334,2.11,7.5,4.641666666666667,0.8333333333333333,3.8,2.654166666666667,0.76,3.3,1.0999999999999999,0.33,NO2,2.11,2,2024,False
2024-02-05,11.9,9.779166666666667,74.08333333333333,8.875,11.6,0.0,297.0,635.0,51.8,43.6875,1.5791666666666666,32.2,21.445833333333336,2.0733333333333333,29.5,15.825000000000001,2.0925925925925926,13.9,7.033333333333334,1.8900000000000001,4.5,1.0916666666666666,0.45,PM10,2.0925925925925926,2,2024,False
2024-02-06,9.5,8.120833333333334,76.91666666666667,8.291666666666666,10.0,0.6,0.0,105.0,43.4,35.083333333333336,1.4041666666666666,29.2,23.241666666666664,1.96,26.6,18.208333333333332,1.9777777777777779,13.7,9.754166666666666,1.87,0.8,0.8000000000000002,0.08000000000000002,PM10,1.9777777777777779,2,2024,False
2024-02-07,11.3,7.804166666666666,84.5,7.554166666666666,11.0,14.399999999999999,0.0,98.0,61.3,46.5375,1.7770833333333331,35.9,22.366666666666664,2.1966666666666668,15.0,8.779166666666667,1.3333333333333333,9.3,5.7625,1.4300000000000002,0.8,0.8000000000000002,0.08000000000000002,NO2,2.1966666666666668,2,2024,False
2024-02-08,11.2,6.008333333333333,94.625,2.9958333333333336,7.5,13.5,0.0,127.0,61.8,33.047826086956526,1.7874999999999999,57.8,33.13913043478261,2.9266666666666667,25.9,8.191304347826087,1.9388888888888887,13.0,5.22608695652174,1.8,2.1,0.9391304347826087,0.21000000000000002,NO2,2.9266666666666667,2,2024,False
2024-02-09,14.4,11.291666666666666,84.75,5.104166666666667,6.3,3.0,37.0,368.0,54.2,29.770833333333332,1.6291666666666667,47.6,30.55,2.586666666666667,29.5,16.354166666666668,2.0925925925925926,13.7,8.6,1.87,5.9,2.775,0.5900000000000001,NO2,2.586666666666667,2,2024,False
2024-02-10,13.0,10.504166666666666,88.0,2.025,4.0,2.2,50.0,0.0,51.6,24.933333333333334,1.575,51.9,31.558333333333334,2.73,24.2,10.495833333333334,1.8444444444444443,17.1,6.558333333333334,2.14,3.2,1.075,0.32000000000000006,NO2,2.73,2,2024,False
2024-02-11,10.6,8.966666666666667,82.33333333333333,4.745833333333334,7.6,1.1,2.0,0.0,51.7,28.1875,1.5770833333333334,45.8,27.712500000000002,2.5266666666666664,20.1,11.195833333333333,1.6166666666666667,13.1,7.241666666666667,1.81,2.9,1.3958333333333333,0.29,NO2,2.5266666666666664,2,2024,False
2024-02-12,10.7,8.304166666666667,78.79166666666667,3.75,5.0,0.30000000000000004,4.0,317.0,46.5,31.808333333333334,1.46875,60.3,34.4625,3.0075,19.3,9.333333333333334,1.5722222222222222,7.7,4.904166666666667,1.27,3.6,1.2,0.36000000000000004,NO2,3.0075,2,2024,False
2024-02-13,9.9,4.6625000000000005,79.95833333333333,2.891666666666667,6.9,0.0,344.0,747.0,55.2,27.695833333333336,1.65,64.3,39.791666666666664,3.1075,19.3,11.704166666666666,1.5722222222222222,9.5,6.166666666666667,1.45,2.4,1.2916666666666667,0.24,NO2,3.1075,2,2024,False
